P30   Test report Date\Time 12.06.2018 11:00:36, GPS reference week number 2005
Integrated device s/n: F1691030 firmware version: A2IMU v3.2.5.2 30.05.18
*IMU: IMU1A s/n 22151 firmware version: IMMM R.1.1.4 12.13.2016 td: 10.000ms
*GNSS receiver: UB482 model: B12G12R12E15bS1Z s/n: GN1001174700959 firmware version: 19524 maximum data rate: 20Hz
*Pressure sensor: type2
*External sensor: absent
Data rate,Hz____________________________ 200
Initial alignment time, s_______________ 5
Magnetic declination ___________________ Mdec= -10.65 (auto) Latitude= 39.0400   Longitude= -77.3900   Altitude= 0.00   Date= 2017.4330
Rolling compensation____________________ ro = 0.00   0.00   0.00   
GNSS receiver___________________________ enabled ext_info Fgps = 10 ro_GPS = -0.02 -1.47 1.23
   Heading correction___________________ Alpha_gps = 0.00 Beta_gps = 0.00 ro_GPS_second = 0.00 0.00 0.00 Ant_baseline_set = 0
Pressure Sensor_________________________ disabled
External Sensor_________________________ Odometer_type = 0 Pulse_length = 0.000000 Odometer_offset = 0.00 0.00 0.00
Aiding data_____________________________ COM1_Aiding_data = 0
Max time of SINS auto mode (s)__________ t_INS_max = 20
Kalman Filter parameters________________ Corr_type = 3 Vh_cut = 1.2 Use_mags = 0 catapult_start = 0 A_catapult_cut = 0.0
ZUPT options____________________________ ZUPT = 0 Vh_zupt = 0.15 Vv_zupt = 0.15 Tv_zupt = 0.10
Alignment angles, deg___________________ 0.00   0.00   0.00
PV measuring point, m___________________ 0.00   -0.38   0.00
Sensors output axes_____________________ Object Instant
Initial alignment_______________________ Heading = 156.403  Roll = -1.429  Pitch = 1.616  USW = 00000000 00000000

        Heading          Pitch           Roll         Gyro_X         Gyro_Y         Gyro_Z          Acc_X          Acc_Y          Acc_Z         Magn_X         Magn_Y         Magn_Z    Temperature            Vdd      USW (L/H)              Latitude      Longitude       Altitude         V_East        V_North           V_Up       Lat_GNSS      Long_GNSS    Height_GNSS        Hor_spd        Trk_gnd        Ver_spd         ms_gps    GNSS_info_1    GNSS_info_2       #solnSVs        latency  anglesPosType   Heading_GNSS    Latency_ms_head     Latency_ms_pos     Latency_ms_vel          P_Bar          H_Bar        New_GPS
         156.50           1.61          -1.42        0.00144        0.03659        0.06232       0.020782       0.027371       0.999823        -4910.0       -21640.0         3460.0           27.6          11.89     00000000 00000000   39.148999051  -77.618934004    171.8570000           0.02           0.00          -0.03   39.149011638  -77.618940445    173.0480000           0.02          81.49          -0.03      226857025       00000101       00111100             13             50            132         214.85                -90                 25                -95         100418         173.50             15
         156.50           1.61          -1.42        0.05535        0.02221        0.06830       0.023345       0.026780       1.000611        -4920.0       -21650.0         3470.0           27.6          11.88     00000000 00000000   39.148999053  -77.618934028    171.8610000          -0.02           0.00           0.03   39.149011638  -77.618940445    173.0480000           0.02         270.08           0.03      226857030       00000101       00111100             13             50            132         214.85                -90                 25                 30         100424         173.05              2
         156.50           1.61          -1.42        0.06395       -0.02102        0.05138       0.031025       0.027106       0.996696        -4940.0       -21650.0         3480.0           27.6          11.89     00000000 00000000   39.148999053  -77.618934028    171.8610000          -0.01           0.00           0.04   39.149011638  -77.618940445    173.0480000           0.02         270.08           0.03      226857035       00000101       00111100             13             50            132         214.98                 35                 25                 30         100422         173.13              4
         156.50           1.61          -1.42        0.04673        0.04855        0.00215       0.024346       0.029269       0.991315        -4940.0       -21660.0         3500.0           27.6          11.90     00000000 00000000   39.148999053  -77.618934027    171.8610000          -0.02           0.00           0.04   39.149011638  -77.618940445    173.0480000           0.02         270.08           0.03      226857040       00000101       00111100             13             50            132         214.98                 35                 25                 30         100422         173.13              0
         156.50           1.61          -1.42       -0.03870        0.04933       -0.03916       0.020053       0.029836       0.996089        -4950.0       -21650.0         3480.0           27.6          11.88     00000000 00000000   39.148999053  -77.618934027    171.8610000          -0.02           0.00           0.03   39.149011638  -77.618940445    173.0480000           0.02         270.08           0.03      226857045       00000101       00111100             13             50            132         214.98                 35                 25                 30         100422         173.13              0
         156.50           1.61          -1.42       -0.08323        0.03073       -0.04576       0.028214       0.028965       1.000534        -4950.0       -21640.0         3480.0           27.6          11.87     00000000 00000000   39.148999053  -77.618934027    171.8610000          -0.02           0.00           0.03   39.149011638  -77.618940445    173.0480000           0.02         270.08           0.03      226857050       00000101       00111100             13             50            132         214.98                 35                 25                 30         100422         173.13              0
         156.50           1.61          -1.42       -0.06350        0.07496        0.01541       0.027116       0.028550       0.999650        -4940.0       -21650.0         3490.0           27.6          11.88     00000000 00000000   39.148999051  -77.618934030    171.8610000          -0.02           0.00           0.03   39.149011638  -77.618940445    173.0480000           0.02         270.08           0.03      226857055       00000101       00111100             13             50            132         214.98                 35                 25                 30         100422         173.13              0
         156.50           1.61          -1.42        0.01007        0.03993        0.04687       0.021141       0.027518       0.999643        -4940.0       -21650.0         3480.0           27.6          11.89     00000000 00000000   39.148999051  -77.618934029    171.8610000          -0.02           0.00           0.03   39.149011638  -77.618940445    173.0480000           0.02         270.08           0.03      226857060       00000101       00111100             13             50            132         214.98                 35                 25                 30         100422         173.13              0
         156.50           1.61          -1.42       -0.04348        0.08911        0.02990       0.026074       0.027734       0.998733        -4960.0       -21630.0         3490.0           27.6          11.88     00000000 00000000   39.148999051  -77.618934029    171.8610000          -0.02           0.00           0.03   39.149011638  -77.618940445    173.0480000           0.02         270.08           0.03      226857065       00000101       00111100             13             50            132         214.98                 35                 25                 30         100422         173.13              0
         156.50           1.61          -1.42       -0.04092        0.02460        0.06945       0.029506       0.028326       1.000265        -4960.0       -21630.0         3490.0           27.6          11.88     00000000 00000000   39.148999051  -77.618934029    171.8610000          -0.02           0.00           0.03   39.149011638  -77.618940445    173.0480000           0.02         270.08           0.03      226857070       00000101       00111100             13             50            132         214.98                 35                 25                 30         100422         173.13              0
